alpha,r,a,b,t_v,t_b,e_miss,l_hit,num_valid_k,is_unimodal,best_k,best_mu,first_valid_k,last_valid_k,invalid_reasons,enough_valid,valid_unimodal
0.5,0.5,0.05,0.05,10.0,1.0,1.0,1.0,6,True,2,1.3854323521948064,1,6,fanout,True,True
0.5,0.5,0.05,0.05,10.0,2.0,1.0,1.0,6,True,2,1.209111218979514,1,6,fanout,True,True
0.5,0.5,0.05,0.05,20.0,0.5,1.0,1.0,7,True,3,1.6002776409840276,1,7,fanout,True,True
0.5,0.5,0.05,0.05,20.0,1.0,1.0,1.0,7,True,3,1.4875434491266921,1,7,fanout,True,True
0.5,0.5,0.05,0.05,20.0,2.0,1.0,1.0,7,True,2,1.337561239311915,1,7,fanout,True,True
0.5,0.5,0.05,0.05,40.0,0.5,1.0,1.0,8,True,4,1.6841511234286501,1,8,fanout,True,True
0.5,0.5,0.05,0.05,40.0,1.0,1.0,1.0,8,True,3,1.589716726707054,1,8,fanout,True,True
0.5,0.5,0.05,0.05,40.0,2.0,1.0,1.0,8,True,2,1.4411150121803007,1,8,fanout,True,True
0.5,0.5,0.05,0.05,80.0,0.5,1.0,1.0,9,True,4,1.7550174435723667,1,9,fanout,True,True
0.5,0.5,0.05,0.05,80.0,1.0,1.0,1.0,9,True,4,1.6748518695918497,1,9,fanout,True,True
0.5,0.5,0.05,0.05,80.0,2.0,1.0,1.0,9,True,3,1.5499744196532428,1,9,fanout,True,True
0.5,0.5,0.05,0.1,10.0,0.5,1.0,1.0,5,True,2,1.3999228574968792,1,5,fanout,True,True
0.5,0.5,0.05,0.1,10.0,1.0,1.0,1.0,5,True,2,1.2637921652149466,1,5,fanout,True,True
0.5,0.5,0.05,0.1,10.0,2.0,1.0,1.0,5,True,1,1.1134035417614143,1,5,fanout,True,True
0.5,0.5,0.05,0.1,20.0,0.5,1.0,1.0,6,True,3,1.4983087689192967,1,6,fanout,True,True
0.5,0.5,0.05,0.1,20.0,1.0,1.0,1.0,6,True,2,1.3862160467791143,1,6,fanout,True,True
0.5,0.5,0.05,0.1,20.0,2.0,1.0,1.0,6,True,2,1.2101262433048092,1,6,fanout,True,True
0.5,0.5,0.05,0.1,40.0,0.5,1.0,1.0,7,True,3,1.6007560187671772,1,7,fanout,True,True
0.5,0.5,0.05,0.1,40.0,1.0,1.0,1.0,7,True,3,1.4881706802548855,1,7,fanout,True,True
0.5,0.5,0.05,0.1,40.0,2.0,1.0,1.0,7,True,2,1.337978129655866,1,7,fanout,True,True
0.5,0.5,0.05,0.1,80.0,0.5,1.0,1.0,8,True,4,1.684447716654587,1,8,fanout,True,True
0.5,0.5,0.05,0.1,80.0,1.0,1.0,1.0,8,True,3,1.5899570209749663,1,8,fanout,True,True
0.5,0.5,0.05,0.1,80.0,2.0,1.0,1.0,8,True,2,1.441280276808092,1,8,fanout,True,True
0.5,0.5,0.1,0.01,10.0,0.5,1.0,1.0,8,True,4,1.705425153976549,1,8,fanout,True,True
0.5,0.5,0.1,0.01,10.0,1.0,1.0,1.0,8,True,3,1.613871069754438,1,8,fanout,True,True
0.5,0.5,0.1,0.01,10.0,2.0,1.0,1.0,8,True,3,1.4739141181386635,1,8,fanout,True,True
0.5,0.5,0.1,0.01,20.0,0.5,1.0,1.0,10,True,5,1.7727693804432934,1,10,fanout,True,True
0.5,0.5,0.1,0.01,20.0,1.0,1.0,1.0,10,True,4,1.6983594130718922,1,10,fanout,True,True
0.5,0.5,0.1,0.01,20.0,2.0,1.0,1.0,10,True,3,1.5782015851705042,1,10,fanout,True,True
0.5,0.5,0.1,0.01,40.0,0.5,1.0,1.0,11,True,5,1.8289650598461122,1,11,fanout,True,True
0.5,0.5,0.1,0.01,40.0,1.0,1.0,1.0,11,True,5,1.765776833541666,1,11,fanout,True,True
0.5,0.5,0.1,0.01,40.0,2.0,1.0,1.0,11,True,4,1.6651009621003583,1,11,fanout,True,True
0.5,0.5,0.1,0.01,80.0,0.5,1.0,1.0,12,True,6,1.871632320938667,1,12,fanout,True,True
0.5,0.5,0.1,0.01,80.0,1.0,1.0,1.0,12,True,5,1.8227000917345748,1,12,fanout,True,True
0.5,0.5,0.1,0.01,80.0,2.0,1.0,1.0,12,True,4,1.73873903339781,1,12,fanout,True,True
0.5,0.5,0.1,0.02,10.0,0.5,1.0,1.0,7,True,3,1.6246399467265618,1,7,fanout,True,True
0.5,0.5,0.1,0.02,10.0,1.0,1.0,1.0,7,True,3,1.519683261922772,1,7,fanout,True,True
0.5,0.5,0.1,0.02,10.0,2.0,1.0,1.0,7,True,2,1.3710273266494755,1,7,fanout,True,True
0.5,0.5,0.1,0.02,20.0,0.5,1.0,1.0,8,True,4,1.7076619733607268,1,8,fanout,True,True
0.5,0.5,0.1,0.02,20.0,1.0,1.0,1.0,8,True,3,1.615678776492602,1,8,fanout,True,True
0.5,0.5,0.1,0.02,20.0,2.0,1.0,1.0,8,True,3,1.4764514338473156,1,8,fanout,True,True
0.5,0.5,0.1,0.02,40.0,0.5,1.0,1.0,10,True,5,1.7739516615050575,1,10,fanout,True,True
0.5,0.5,0.1,0.02,40.0,1.0,1.0,1.0,10,True,4,1.6994700096294302,1,10,fanout,True,True
0.5,0.5,0.1,0.02,40.0,2.0,1.0,1.0,10,True,3,1.5791813924674845,1,10,fanout,True,True
0.5,0.5,0.1,0.02,80.0,0.5,1.0,1.0,11,True,5,1.8293896213312812,1,11,fanout,True,True
0.5,0.5,0.1,0.02,80.0,1.0,1.0,1.0,11,True,5,1.7663720772529898,1,11,fanout,True,True
0.5,0.5,0.1,0.02,80.0,2.0,1.0,1.0,11,True,4,1.6657088397308522,1,11,fanout,True,True
0.5,0.5,0.1,0.05,10.0,0.5,1.0,1.0,6,True,3,1.4944210159475209,1,6,fanout,True,True
0.5,0.5,0.1,0.05,10.0,1.0,1.0,1.0,6,True,2,1.3838487649192803,1,6,fanout,True,True
0.5,0.5,0.1,0.05,10.0,2.0,1.0,1.0,6,True,1,1.207109891592298,1,6,fanout,True,True
0.5,0.5,0.1,0.05,20.0,0.5,1.0,1.0,7,True,3,1.599313118331668,1,7,fanout,True,True
0.5,0.5,0.1,0.05,20.0,1.0,1.0,1.0,7,True,3,1.486279270760818,1,7,fanout,True,True
0.5,0.5,0.1,0.05,20.0,2.0,1.0,1.0,7,True,2,1.3367233404327048,1,7,fanout,True,True
0.5,0.5,0.1,0.05,40.0,0.5,1.0,1.0,8,True,4,1.6835547198002867,1,8,fanout,True,True
0.5,0.5,0.1,0.05,40.0,1.0,1.0,1.0,8,True,3,1.589234238490501,1,8,fanout,True,True
0.5,0.5,0.1,0.05,40.0,2.0,1.0,1.0,8,True,2,1.440783639762247,1,8,fanout,True,True
0.5,0.5,0.1,0.05,80.0,0.5,1.0,1.0,9,True,4,1.7547993170328393,1,9,fanout,True,True
0.5,0.5,0.1,0.05,80.0,1.0,1.0,1.0,9,True,4,1.674552275861906,1,9,fanout,True,True
0.5,0.5,0.1,0.05,80.0,2.0,1.0,1.0,9,True,3,1.5497117083961536,1,9,fanout,True,True
0.5,0.5,0.1,0.1,10.0,0.5,1.0,1.0,5,True,2,1.3983340580325814,1,5,fanout,True,True
