n,alpha_spread,capacity,sum_kstar,rho,regime,all_clients_concave,greedy_obj,dp_obj,milp_obj,greedy_minus_dp,dp_minus_milp,greedy_is_optimal,alloc_matches_dp,greedy_alloc,dp_alloc
5,0.1,19,24,1.263157894736842,binding,True,13.693922272133884,13.693922272133884,13.693922272133884,0.0,0.0,True,True,3|3|4|4|5,3|3|4|4|5
5,0.1,20,24,1.2,binding,True,13.82098478330593,13.82098478330593,13.82098478330593,0.0,0.0,True,True,3|4|4|4|5,3|4|4|4|5
5,0.1,21,24,1.1428571428571428,binding,True,13.92893491441741,13.92893491441741,13.92893491441741,0.0,0.0,True,True,3|4|4|5|5,3|4|4|5|5
5,0.1,22,24,1.0909090909090908,binding,True,14.013190021419797,14.013190021419797,14.013190021419796,0.0,1.7763568394002505e-15,True,True,4|4|4|5|5,4|4|4|5|5
5,0.1,23,24,1.0434782608695652,binding,True,14.067906922677894,14.067906922677894,14.06790692267789,0.0,3.552713678800501e-15,True,True,4|4|5|5|5,4|4|5|5|5
5,0.1,24,24,1.0,slack,True,14.086551278190898,14.086551278190898,14.0865512781909,0.0,-1.7763568394002505e-15,True,True,4|5|5|5|5,4|5|5|5|5
5,0.1,25,24,0.96,slack,True,14.086551278190898,14.086551278190898,14.0865512781909,0.0,-1.7763568394002505e-15,True,True,4|5|5|5|5,4|5|5|5|5
5,0.1,26,24,0.9230769230769231,slack,True,14.086551278190898,14.086551278190898,14.086551278190896,0.0,1.7763568394002505e-15,True,True,4|5|5|5|5,4|5|5|5|5
5,0.1,27,24,0.8888888888888888,slack,True,14.086551278190898,14.086551278190898,14.0865512781909,0.0,-1.7763568394002505e-15,True,True,4|5|5|5|5,4|5|5|5|5
5,0.1,28,24,0.8571428571428571,slack,True,14.086551278190898,14.086551278190898,14.086551278190893,0.0,5.329070518200751e-15,True,True,4|5|5|5|5,4|5|5|5|5
5,0.18,5,24,4.8,binding,True,8.56422383991037,8.56422383991037,8.56422383991037,0.0,0.0,True,True,1|1|1|1|1,1|1|1|1|1
5,0.18,6,24,4.0,binding,True,9.350918777303166,9.350918777303166,9.350918777303166,0.0,0.0,True,True,1|1|1|1|2,1|1|1|1|2
5,0.18,7,24,3.4285714285714284,binding,True,10.025660509083757,10.025660509083757,10.025660509083755,0.0,1.7763568394002505e-15,True,True,1|1|1|1|3,1|1|1|1|3
5,0.18,8,24,3.0,binding,True,10.655451491572292,10.655451491572292,10.65545149157229,0.0,1.7763568394002505e-15,True,True,1|1|1|2|3,1|1|1|2|3
5,0.18,9,24,2.6666666666666665,binding,True,11.204077242878153,11.204077242878153,11.204077242878153,0.0,0.0,True,True,1|1|1|2|4,1|1|1|2|4
5,0.18,10,24,2.4,binding,True,11.697423649941573,11.697423649941573,11.69742364994157,0.0,3.552713678800501e-15,True,True,1|1|2|2|4,1|1|2|2|4
